number,reg_score,feature_list
11,0.9443248529726873,"['T_f' 'O_f' 'r_A.eff' 'P_A' 'r_B_s+p' 'IE_B' 'P_B' 'X_p-electron'
 '1st_IP_B' 'VE_B' 'χ_X']"
10,0.9436978300193383,"['T_f' 'r_A.eff' 'P_A' 'r_B_s+p' 'IE_B' 'P_B' 'X_p-electron' '1st_IP_B'
 'VE_B' 'χ_X']"
9,0.9563295179026946,['T_f' 'P_A' 'r_B_s+p' 'IE_B' 'P_B' 'X_p-electron' '1st_IP_B' 'VE_B' 'χ_X']
8,0.957258797969829,['P_A' 'r_B_s+p' 'IE_B' 'P_B' 'X_p-electron' '1st_IP_B' 'VE_B' 'χ_X']
7,0.9557257958820313,['P_A' 'r_B_s+p' 'IE_B' 'P_B' 'X_p-electron' 'VE_B' 'χ_X']
6,0.9522379589894534,['P_A' 'r_B_s+p' 'IE_B' 'P_B' 'X_p-electron' 'VE_B']
5,0.9519304423154396,['P_A' 'r_B_s+p' 'IE_B' 'X_p-electron' 'VE_B']
4,0.9564588522264954,['P_A' 'r_B_s+p' 'IE_B' 'VE_B']
3,0.7802227554032161,['P_A' 'r_B_s+p' 'IE_B']
2,0.7612888915097141,['P_A' 'IE_B']
1,0.764621257833123,['IE_B']
