number,reg_score,adj. r**2
2,0.27333603357625114,0.026013249738102595
3,0.5851981176817883,0.28914252641979254
4,0.7751532674381143,0.556513986688872
5,0.8525413345699894,0.687801973886147
6,0.8564170481002115,0.6864119532666821
7,0.8153454557904773,0.5936826815493107
8,0.7964234182134178,0.5428628263484306
9,0.8540103875339842,0.6507532155044462
10,0.8505429203214748,0.6312310124119769
11,0.8751857962962106,0.6771726593636308
12,0.8975863901730954,0.7223733254628117
13,0.9072772313875207,0.7380029253247478
14,0.925807193035273,0.7801830133474635
15,0.9288539449093015,0.7804314415577147
16,0.9152558861470128,0.7294888952112561
17,0.9105500764362946,0.7027851159967686
18,0.9275684623395214,0.7461513678670985
19,0.9346500794775219,0.7591824210806437
20,0.9243833244229339,0.7089690609423902
21,0.9374380172506741,0.7448211288144739
22,0.9160917450236591,0.6427201895566508
23,0.9260076612642811,0.6646827969885731
24,0.9232171646665998,0.630824832837589
25,0.9223302539318302,0.6018482595145451
26,0.930996946892189,0.6193009003502212
27,0.935034499093464,0.6131985061383544
28,0.9102262208172132,0.42837257687728714
29,0.9194592165278822,0.4378372758475162
30,0.9314700265594205,0.47054564151443
