number,reg_score,adj. r**2,feature_list
14,0.948057660560386,0.8443281965342032,"['T_f' 'O_f' 'r_A.eff' 'P_A' 'χ_B' 'r_B_s+p' 'IE_B' 'P_B' 'X_p-electron'
 '1st_IP_B' 'VE_B' '1st_IP_X' 'χ_X' 'r_X']"
13,0.9482294287640347,0.8505763697395075,"['T_f' 'O_f' 'r_A.eff' 'P_A' 'χ_B' 'r_B_s+p' 'IE_B' 'P_B' 'X_p-electron'
 '1st_IP_B' 'VE_B' 'χ_X' 'r_X']"
12,0.9443248529726873,0.8453563256312678,"['T_f' 'O_f' 'r_A.eff' 'P_A' 'r_B_s+p' 'IE_B' 'P_B' 'X_p-electron'
 '1st_IP_B' 'VE_B' 'χ_X' 'r_X']"
11,0.9436978300193383,0.8490559922527005,"['T_f' 'O_f' 'r_A.eff' 'P_A' 'r_B_s+p' 'IE_B' 'P_B' 'X_p-electron'
 '1st_IP_B' 'VE_B' 'χ_X']"
10,0.9563295179026946,0.8860881957493337,"['T_f' 'r_A.eff' 'P_A' 'r_B_s+p' 'IE_B' 'P_B' 'X_p-electron' '1st_IP_B'
 'VE_B' 'χ_X']"
9,0.957258797969829,0.892057298439538,['T_f' 'P_A' 'r_B_s+p' 'IE_B' 'P_B' 'X_p-electron' '1st_IP_B' 'VE_B' 'χ_X']
8,0.9557257958820313,0.8917647461429277,['P_A' 'r_B_s+p' 'IE_B' 'P_B' 'X_p-electron' '1st_IP_B' 'VE_B' 'χ_X']
7,0.9522379589894534,0.8869783400489697,['P_A' 'r_B_s+p' 'IE_B' 'P_B' 'X_p-electron' 'VE_B' 'χ_X']
6,0.9519304423154396,0.8896136082433745,['P_A' 'r_B_s+p' 'IE_B' 'P_B' 'X_p-electron' 'VE_B']
5,0.9564588522264954,0.9026440411456286,['P_A' 'r_B_s+p' 'IE_B' 'X_p-electron' 'VE_B']
4,0.7802227554032161,0.5652750533877631,['P_A' 'r_B_s+p' 'IE_B' 'VE_B']
3,0.7612888915097141,0.545471109552529,['P_A' 'r_B_s+p' 'IE_B']
2,0.764621257833123,0.5627849136108496,['P_A' 'IE_B']
