,T_f,O_f,r_A.eff,P_A,A_HOMO,χ_B,r_B_s+p,A_LUMO,r_B,IE_B,P_B,EA_B,X_p-electron,IC_B,1st_IP_B,VE_B,B_d-electron,1st_IP_X,χ_X,P_X,IC_X,r_X_s+p,r_X,X_s-electron,B_p-electron,EA_X,B_s-electron,X_d-electron,B_f-electron,X_f-electron,bandgap-PBE(eV)
count,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0
mean,0.32014030007979805,0.3792171182584512,0.31331295330576026,0.21667489147562108,0.41047544271560754,0.5577313432835822,0.49025915749651366,0.7063701638328501,0.472507591910577,0.49746467958630264,0.2033483814639031,0.3004778719460142,0.6370923161967939,0.5337397519445028,0.4056987788331072,0.2900497512437811,0.5315091210613598,0.23153957615080983,0.24641941806120904,0.6352992459858565,0.5741745816372682,0.6923222868707312,0.7189912506433348,0.6401326699834163,0.6331500392772977,0.49416276020618927,0.6082089552238806,0.49502487562189057,0.3034825870646766,0.0,0.22316371607089425
std,0.16217557649548084,0.20457963281261926,0.2913184686145998,0.31711378280459235,0.3370255593916097,0.2600337429309639,0.23671049422327217,0.20747445806184828,0.24620410954817487,0.22056473525603604,0.19194027284612453,0.22436409902436438,0.31832023923513464,0.305112175706057,0.18214396435910216,0.24819447518516163,0.3168455460556123,0.2543919893032299,0.25577136451148225,0.30081805870879197,0.35766050287845796,0.273641517299333,0.26622746914499007,0.315107008419542,0.2733251920383541,0.39589648281720885,0.24516785294855234,0.4153012453365743,0.460909764428216,0.0,0.28375472560790943
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.22720917976103472,0.2337509140729645,0.0,0.0,0.0,0.44800000000000006,0.29602220166512483,0.6225274725274723,0.2857142857142858,0.4033919518060106,0.07346825616856115,0.1276894314116001,0.3333333333333333,0.2816901408450704,0.2935606060606061,0.2,0.3333333333333333,0.0,0.0,0.39174511223750913,0.18181818181818182,0.5127118644067796,0.5517241379310343,0.33333333333333337,0.3157894736842105,0.0,0.5,0.0,0.0,0.0,0.0
50%,0.30276320818425195,0.36610302821258695,0.43373493975903576,0.09379373308200711,0.6034395548811329,0.6320000000000002,0.46022201665124884,0.8111721611721607,0.46103896103896114,0.4385220719162112,0.10451899085112284,0.23881845874934085,0.6666666666666667,0.5070422535211268,0.4185606060606061,0.2,0.4666666666666667,0.19512195121951215,0.22727272727272707,0.5993241612358196,0.5909090909090909,0.673728813559322,0.7241379310344827,0.6666666666666666,0.631578947368421,0.5505415162454872,0.5,0.5,0.0,0.0,0.0753592855419784
75%,0.39476371106649766,0.5100840141207665,0.43373493975903576,0.09379373308200711,0.6841173495194739,0.7360000000000001,0.6984273820536541,0.8111721611721607,0.668831168831169,0.5838753733561216,0.30413085666759077,0.47853771632027814,1.0,0.8591549295774648,0.5094696969696971,0.30000000000000004,0.7666666666666666,0.3615494978479197,0.3787878787878789,1.0000000000000002,1.0,1.0000000000000002,1.0,0.9999999999999999,0.9473684210526315,1.0,0.75,1.0,1.0,0.0,0.38398994816153054
max,0.9999999999999998,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,0.0,1.0
