A-site,B-site,X-site,T_f,O_f,r_A.eff,P_A,A_HOMO,χ_B,r_B_s+p,A_LUMO,r_B,IE_B,P_B,EA_B,X_p-electron,IC_B,1st_IP_B,VE_B,B_d-electron,1st_IP_X,χ_X,P_X,IC_X,r_X_s+p,r_X,X_s-electron,B_p-electron,EA_X,B_s-electron,X_d-electron,B_f-electron,X_f-electron,bandgap-PBE(eV)
(CH3)4N,Sn,Cl,1.093240177,0.61878453,2.72,7.462430209,-13.042,1.96,1.88,-10.811,1.12,14.6322,6.28,1.112067,11,48,7.34,2,10,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,10,0,0,0,2.9327
(CH2)3NH2,Sn,Cl,1.040146835,0.61878453,2.5,5.406571467000001,-13.364,1.96,1.88,-5.821000000000001,1.12,14.6322,6.28,1.112067,11,48,7.34,2,10,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,10,0,0,0,2.0435
CH3CH2NH3,Sn,Br,1.079026582,0.571428571,2.74,5.101102175,-13.718,1.96,1.88,-5.992999999999999,1.12,14.6322,6.28,1.112067,18,48,7.34,2,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,10,10,0,0,2.5689
CH3C(NH2)2,Sn,Br,1.138717414,0.571428571,3.0,6.627609608999999,-12.487,1.96,1.88,-6.831,1.12,14.6322,6.28,1.112067,18,48,7.34,2,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,10,10,0,0,2.7504
(CH3)4N,Sn,Br,1.074434979,0.571428571,2.72,7.462430209,-13.042,1.96,1.88,-10.811,1.12,14.6322,6.28,1.112067,18,48,7.34,2,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,10,10,0,0,2.2126
NH2NH3,Sn,Br,0.9481659109999999,0.571428571,2.17,2.603313579,-12.982000000000001,1.96,1.88,-6.67,1.12,14.6322,6.28,1.112067,18,48,7.34,2,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,10,10,0,0,1.34
(CH2)3NH2,Sn,Br,1.023927352,0.571428571,2.5,5.406571467000001,-13.364,1.96,1.88,-5.821000000000001,1.12,14.6322,6.28,1.112067,18,48,7.34,2,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,10,10,0,0,1.4384
CH3CH2NH3,Sn,I,1.052140813,0.509090909,2.74,5.101102175,-13.718,1.96,1.88,-5.992999999999999,1.12,14.6322,6.28,1.112067,24,48,7.34,2,10,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,10,20,0,0,2.0493
C(NH2)3,Sn,I,1.060660172,0.509090909,2.78,5.961080732999999,-12.182,1.96,1.88,-5.848,1.12,14.6322,6.28,1.112067,24,48,7.34,2,10,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,10,20,0,0,1.0856
(CH3)4N,Sn,I,1.047881134,0.509090909,2.72,7.462430209,-13.042,1.96,1.88,-10.811,1.12,14.6322,6.28,1.112067,24,48,7.34,2,10,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,10,20,0,0,1.546
NH2NH3,Sn,I,0.93073995,0.509090909,2.17,2.603313579,-12.982000000000001,1.96,1.88,-6.67,1.12,14.6322,6.28,1.112067,24,48,7.34,2,10,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,10,20,0,0,1.0554
(CH2)3NH2,Sn,I,1.00102466,0.509090909,2.5,5.406571467000001,-13.364,1.96,1.88,-5.821000000000001,1.12,14.6322,6.28,1.112067,24,48,7.34,2,10,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,10,20,0,0,1.0994
(CH3)4N,Pb,F,1.136421613,0.894736842,2.72,7.462430209,-13.042,1.8,2.09,-10.811,1.19,15.03248,6.98,0.364,6,80,7.42,2,30,17.42,3.98,0.557,10,0.405,1.33,4,24,3.4010000000000002,12,0,14,0,4.9344
(CH3)3NH,Pb,F,1.175705323,0.894736842,2.86,6.683884325,-14.597000000000001,1.8,2.09,-5.351,1.19,15.03248,6.98,0.364,6,80,7.42,2,30,17.42,3.98,0.557,10,0.405,1.33,4,24,3.4010000000000002,12,0,14,0,4.4454
C3H5N2,Pb,F,1.097137903,0.894736842,2.58,5.559204981000001,-11.780999999999999,1.8,2.09,-6.765,1.19,15.03248,6.98,0.364,6,80,7.42,2,30,17.42,3.98,0.557,10,0.405,1.33,4,24,3.4010000000000002,12,0,14,0,3.7647
CH3CH2NH3,Pb,Cl,1.072445285,0.657458564,2.74,5.101102175,-13.718,1.8,2.09,-5.992999999999999,1.19,15.03248,6.98,0.364,11,80,7.42,2,30,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,12,0,14,0,3.4288
CH3C(NH2)2,Pb,Cl,1.133727873,0.657458564,3.0,6.627609608999999,-12.487,1.8,2.09,-6.831,1.19,15.03248,6.98,0.364,11,80,7.42,2,30,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,12,0,14,0,3.4462
(CH3)4N,Pb,Cl,1.06773124,0.657458564,2.72,7.462430209,-13.042,1.8,2.09,-10.811,1.19,15.03248,6.98,0.364,11,80,7.42,2,30,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,12,0,14,0,2.9253
(CH3)3NH,Pb,Cl,1.1007295559999999,0.657458564,2.86,6.683884325,-14.597000000000001,1.8,2.09,-5.351,1.19,15.03248,6.98,0.364,11,80,7.42,2,30,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,12,0,14,0,3.1506
(CH2)3NH2,Pb,Cl,1.015876742,0.657458564,2.5,5.406571467000001,-13.364,1.8,2.09,-5.821000000000001,1.19,15.03248,6.98,0.364,11,80,7.42,2,30,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,12,0,14,0,2.4437
CH3CH2NH3,Pb,Br,1.055048213,0.607142857,2.74,5.101102175,-13.718,1.8,2.09,-5.992999999999999,1.19,15.03248,6.98,0.364,18,80,7.42,2,30,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,12,10,14,0,2.8135
CH3C(NH2)2,Pb,Br,1.113412582,0.607142857,3.0,6.627609608999999,-12.487,1.8,2.09,-6.831,1.19,15.03248,6.98,0.364,18,80,7.42,2,30,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,12,10,14,0,2.9395
C(NH2)3,Pb,Br,1.0640273470000001,0.607142857,2.78,5.961080732999999,-12.182,1.8,2.09,-5.848,1.19,15.03248,6.98,0.364,18,80,7.42,2,30,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,12,10,14,0,1.913
(CH3)4N,Pb,Br,1.050558646,0.607142857,2.72,7.462430209,-13.042,1.8,2.09,-10.811,1.19,15.03248,6.98,0.364,18,80,7.42,2,30,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,12,10,14,0,2.2969
NH2NH3,Pb,Br,0.927095558,0.607142857,2.17,2.603313579,-12.982000000000001,1.8,2.09,-6.67,1.19,15.03248,6.98,0.364,18,80,7.42,2,30,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,12,10,14,0,2.3859
(CH2)3NH2,Pb,Br,1.001173411,0.607142857,2.5,5.406571467000001,-13.364,1.8,2.09,-5.821000000000001,1.19,15.03248,6.98,0.364,18,80,7.42,2,30,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,12,10,14,0,1.9129
CH3CH2NH3,Pb,I,1.030415191,0.5409090910000001,2.74,5.101102175,-13.718,1.8,2.09,-5.992999999999999,1.19,15.03248,6.98,0.364,24,80,7.42,2,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,12,20,14,0,1.8327
(CH3)2CHNH3,Pb,I,1.065874824,0.5409090910000001,2.91,6.934047795,-13.349,1.8,2.09,-5.75,1.19,15.03248,6.98,0.364,24,80,7.42,2,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,12,20,14,0,1.6849
C(NH2)3,Pb,I,1.0387586340000001,0.5409090910000001,2.78,5.961080732999999,-12.182,1.8,2.09,-5.848,1.19,15.03248,6.98,0.364,24,80,7.42,2,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,12,20,14,0,1.5862
(CH3)4N,Pb,I,1.02624347,0.5409090910000001,2.72,7.462430209,-13.042,1.8,2.09,-10.811,1.19,15.03248,6.98,0.364,24,80,7.42,2,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,12,20,14,0,1.7965
NH2NH3,Pb,I,0.911521131,0.5409090910000001,2.17,2.603313579,-12.982000000000001,1.8,2.09,-6.67,1.19,15.03248,6.98,0.364,24,80,7.42,2,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,12,20,14,0,1.8533
(CH3)3NH,Pb,I,1.05544552,0.5409090910000001,2.86,6.683884325,-14.597000000000001,1.8,2.09,-5.351,1.19,15.03248,6.98,0.364,24,80,7.42,2,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,12,20,14,0,1.7386
(CH2)3NH2,Pb,I,0.980354534,0.5409090910000001,2.5,5.406571467000001,-13.364,1.8,2.09,-5.821000000000001,1.19,15.03248,6.98,0.364,24,80,7.42,2,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,12,20,14,0,1.5501
