A-site,B-site,X-site,T_f,O_f,r_A.eff,P_A,A_HOMO,χ_B,r_B_s+p,A_LUMO,r_B,IE_B,P_B,EA_B,X_p-electron,IC_B,1st_IP_B,VE_B,B_d-electron,1st_IP_X,χ_X,P_X,IC_X,r_X_s+p,r_X,X_s-electron,B_p-electron,EA_X,B_s-electron,X_d-electron,B_f-electron,X_f-electron,bandgap-PBE(eV)
CH3CH2NH3,Ge,F,1.397050776,0.54887218,2.74,5.101102175,-13.718,2.01,1.56,-5.993,0.73,15.93461,5.84,1.232712,6,30,7.9,2,10,17.42,3.98,0.557,10,0.405,1.33,4,12,3.401,8,0,0,0,4.5073
(CH3)2CHNH3,Ge,F,1.455404249,0.54887218,2.91,6.934047795,-13.349,2.01,1.56,-5.75,0.73,15.93461,5.84,1.232712,6,30,7.9,2,10,17.42,3.98,0.557,10,0.405,1.33,4,12,3.401,8,0,0,0,5.1078
CH3C(NH2)2,Ge,F,1.486297263,0.54887218,3,6.627609609,-12.487,2.01,1.56,-6.831,0.73,15.93461,5.84,1.232712,6,30,7.9,2,10,17.42,3.98,0.557,10,0.405,1.33,4,12,3.401,8,0,0,0,3.8145
(CH3)4N,Ge,F,1.390185662,0.54887218,2.72,7.462430209,-13.042,2.01,1.56,-10.811,0.73,15.93461,5.84,1.232712,6,30,7.9,2,10,17.42,3.98,0.557,10,0.405,1.33,4,12,3.401,8,0,0,0,5.0916
(CH2)3NH2,Ge,F,1.314669404,0.54887218,2.5,5.406571467,-13.364,2.01,1.56,-5.821,0.73,15.93461,5.84,1.232712,6,30,7.9,2,10,17.42,3.98,0.557,10,0.405,1.33,4,12,3.401,8,0,0,0,4.2387
C3H5N2,Ge,F,1.342129861,0.54887218,2.58,5.559204981,-11.781,2.01,1.56,-6.765,0.73,15.93461,5.84,1.232712,6,30,7.9,2,10,17.42,3.98,0.557,10,0.405,1.33,4,12,3.401,8,0,0,0,3.389
CH3C(NH2)2,Ge,Cl,1.339048668,0.403314917,3,6.627609609,-12.487,2.01,1.56,-6.831,0.73,15.93461,5.84,1.232712,11,30,7.9,2,10,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,8,0,0,0,3.7574
(CH3)4N,Ge,Cl,1.261099889,0.403314917,2.72,7.462430209,-13.042,2.01,1.56,-10.811,0.73,15.93461,5.84,1.232712,11,30,7.9,2,10,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,8,0,0,0,3.5083
(CH2)3NH2,Ge,Cl,1.19985442,0.403314917,2.5,5.406571467,-13.364,2.01,1.56,-5.821,0.73,15.93461,5.84,1.232712,11,30,7.9,2,10,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,8,0,0,0,3.1592
HC(NH2)2,Ge,Br,1.180263735,0.37244898,2.53,2.502999555,-13.03,2.01,1.56,-7.412,0.73,15.93461,5.84,1.232712,18,30,7.9,2,10,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,8,10,0,0,1.9287
(CH3)4N,Ge,Br,1.23020808,0.37244898,2.72,7.462430209,-13.042,2.01,1.56,-10.811,0.73,15.93461,5.84,1.232712,18,30,7.9,2,10,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,8,10,0,0,2.6041
(CH2)3NH2,Ge,Br,1.172377786,0.37244898,2.5,5.406571467,-13.364,2.01,1.56,-5.821,0.73,15.93461,5.84,1.232712,18,30,7.9,2,10,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,8,10,0,0,2.8952
HC(NH2)2,Ge,I,1.141506852,0.331818182,2.53,2.502999555,-13.03,2.01,1.56,-7.412,0.73,15.93461,5.84,1.232712,24,30,7.9,2,10,10.45,2.66,4.7,54,1.585,2.2,10,12,3.059,8,20,0,0,1.4596
(CH3)4N,Ge,I,1.187360192,0.331818182,2.72,7.462430209,-13.042,2.01,1.56,-10.811,0.73,15.93461,5.84,1.232712,24,30,7.9,2,10,10.45,2.66,4.7,54,1.585,2.2,10,12,3.059,8,20,0,0,1.9256
(CH2)3NH2,Ge,I,1.13426685,0.331818182,2.5,5.406571467,-13.364,2.01,1.56,-5.821,0.73,15.93461,5.84,1.232712,24,30,7.9,2,10,10.45,2.66,4.7,54,1.585,2.2,10,12,3.059,8,20,0,0,1.6271
CH3CH2NH3,Sn,F,1.174663102,0.842105263,2.74,5.101102175,-13.718,1.96,1.88,-5.993,1.12,14.6322,6.28,1.112067,6,48,7.34,2,10,17.42,3.98,0.557,10,0.405,1.33,4,18,3.401,10,0,0,0,3.2316
(CH3)2CHNH3,Sn,F,1.223727654,0.842105263,2.91,6.934047795,-13.349,1.96,1.88,-5.75,1.12,14.6322,6.28,1.112067,6,48,7.34,2,10,17.42,3.98,0.557,10,0.405,1.33,4,18,3.401,10,0,0,0,4.4386
CH3C(NH2)2,Sn,F,1.249703005,0.842105263,3,6.627609609,-12.487,1.96,1.88,-6.831,1.12,14.6322,6.28,1.112067,6,48,7.34,2,10,17.42,3.98,0.557,10,0.405,1.33,4,18,3.401,10,0,0,0,3.368
(CH3)4N,Sn,F,1.168890802,0.842105263,2.72,7.462430209,-13.042,1.96,1.88,-10.811,1.12,14.6322,6.28,1.112067,6,48,7.34,2,10,17.42,3.98,0.557,10,0.405,1.33,4,18,3.401,10,0,0,0,4.4999
(CH2)3NH2,Sn,F,1.105395499,0.842105263,2.5,5.406571467,-13.364,1.96,1.88,-5.821,1.12,14.6322,6.28,1.112067,6,48,7.34,2,10,17.42,3.98,0.557,10,0.405,1.33,4,18,3.401,10,0,0,0,3.6343
CH3CH2NH3,Sn,Cl,1.098066845,0.61878453,2.74,5.101102175,-13.718,1.96,1.88,-5.993,1.12,14.6322,6.28,1.112067,11,48,7.34,2,10,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,10,0,0,0,3.1242
(CH3)4N,Sn,Cl,1.093240177,0.61878453,2.72,7.462430209,-13.042,1.96,1.88,-10.811,1.12,14.6322,6.28,1.112067,11,48,7.34,2,10,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,10,0,0,0,2.9327
(CH2)3NH2,Sn,Cl,1.040146835,0.61878453,2.5,5.406571467,-13.364,1.96,1.88,-5.821,1.12,14.6322,6.28,1.112067,11,48,7.34,2,10,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,10,0,0,0,2.0435
CH3CH2NH3,Sn,Br,1.079026582,0.571428571,2.74,5.101102175,-13.718,1.96,1.88,-5.993,1.12,14.6322,6.28,1.112067,18,48,7.34,2,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,10,10,0,0,2.5689
CH3C(NH2)2,Sn,Br,1.138717414,0.571428571,3,6.627609609,-12.487,1.96,1.88,-6.831,1.12,14.6322,6.28,1.112067,18,48,7.34,2,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,10,10,0,0,2.7504
(CH3)4N,Sn,Br,1.074434979,0.571428571,2.72,7.462430209,-13.042,1.96,1.88,-10.811,1.12,14.6322,6.28,1.112067,18,48,7.34,2,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,10,10,0,0,2.2126
NH2NH3,Sn,Br,0.948165911,0.571428571,2.17,2.603313579,-12.982,1.96,1.88,-6.67,1.12,14.6322,6.28,1.112067,18,48,7.34,2,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,10,10,0,0,1.34
