ratio,score
0.99,0.8718826978010396
0.98,0.9675233625364509
0.97,0.9600713829829254
0.96,0.9643706577438229
0.95,0.9719279032456243
0.94,0.9813178806314351
0.9299999999999999,0.9624136427980349
0.92,0.950669833525558
0.91,0.9483935838979538
0.9,0.9504205518108314
0.89,0.9434627060985743
0.88,0.9177427892798928
0.87,0.9203795052623597
0.86,0.9312135140283706
0.85,0.9346512347456934
0.84,0.93420096152411
0.83,0.9371707224773522
0.8200000000000001,0.9380753386929257
0.81,0.9370129045907816
0.8,0.9417593518721501
0.79,0.9369718715037789
0.78,0.9440481262147999
0.77,0.9302413349753528
0.76,0.9311256649567431
0.75,0.927792525619194
0.74,0.9377014812385152
0.73,0.9412669818589419
0.72,0.9128667631464358
0.71,0.9220083471113093
0.7,0.922771907148376
0.69,0.9211784065233677
0.6799999999999999,0.9201572133824238
0.6699999999999999,0.919462822857639
0.6599999999999999,0.92375707749766
0.65,0.9287308302458592
0.64,0.9128663735865893
0.63,0.9145220976590607
0.62,0.9154116179578738
0.61,0.9102218526833374
0.6,0.9068396780863459
0.5900000000000001,0.912866472523941
0.5800000000000001,0.9141970228961094
0.5700000000000001,0.9196327347505548
0.56,0.88881663500027
0.55,0.906874655318728
0.54,0.8808739595545947
0.53,0.8917646983851581
0.52,0.879773431608093
0.51,0.8834958220227499
0.5,0.8861738462495014
0.49,0.8825943121569955
0.48,0.8907994183964943
0.47,0.8922036350669481
0.45999999999999996,0.8841851464387644
0.44999999999999996,0.8837334920684632
0.43999999999999995,0.8946677146784916
0.43000000000000005,0.8819614294598302
0.42000000000000004,0.8837110502238805
0.41000000000000003,0.8967881127081901
0.4,0.8984204048287676
0.39,0.9038486961657324
0.38,0.9038590748401462
0.37,0.8989337140500016
0.36,0.8923564960796442
0.35,0.8871069573922957
0.33999999999999997,0.8633907861356052
0.32999999999999996,0.8923882650945969
0.31999999999999995,0.8936574535393538
0.31000000000000005,0.8860145376813736
0.30000000000000004,0.890225288764684
0.29000000000000004,0.8811213984436947
0.28,0.8847201018787572
0.27,0.9101759279385715
0.26,0.827708284941659
0.25,0.8078223584702902
0.24,0.7787309953357163
0.22999999999999998,0.8160290757469763
0.21999999999999997,0.8038478903977689
0.20999999999999996,0.8102360490038669
0.19999999999999996,0.816747492608095
0.18999999999999995,0.7953702182234794
0.18000000000000005,0.7132845899453517
0.17000000000000004,0.6562488201503167
0.16000000000000003,0.7243715203428934
0.15000000000000002,0.7894566896486742
0.14,0.7786194446408339
0.13,0.7434436139264624
0.12,0.7557714727464272
0.10999999999999999,0.7424368808209058
0.09999999999999998,0.7198080277110914
0.08999999999999997,0.3289778288312949
0.07999999999999996,0.2507127226730439
0.06999999999999995,0.248638893508056
0.06000000000000005,0.19849621364130265
0.050000000000000044,0.15145313028937424
0.040000000000000036,0.13709795713971606
0.030000000000000027,0.05662556575872901
0.020000000000000018,-0.00376899180825796
0.010000000000000009,-0.029360171359218867
